number,name,species,primary_type,secondary_type,pokedexX,pokedexY,pokedexOR,pokedexAS
159,Croconaw,Big Jaw,WATER,NONE,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth. ","Once it bites down, it won't let go until it loses its fangs. New fangs quickly grow into place. ","Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.","Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in."
160,Feraligatr,Big Jaw,WATER,NONE,"It usually moves slowly, but it goes at blinding speed when it attacks and bites prey. ","When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up. ","Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.","Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed."
161,Sentret,Scout,NORMAL,NONE,"When acting as a lookout, it warns others of danger by screeching and hitting the ground with its tail.","It stands on its tail so it can see a long way. If it spots an enemy, it cries loudly to warn its kind.","When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pok̩mon becomes separated from its pack, it becomes incapable of sleep due to fear.","When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pok̩mon becomes separated from its pack, it becomes incapable of sleep due to fear."
162,Furret,Long Body,NORMAL,NONE,The mother puts its offspring to sleep by curling up around them. It corners foes with speed.,It makes a nest to suit its long and skinny body. The nest is impossible for other Pok̩mon to enter.,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pok̩mon is very nimble and fleet.","Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pok̩mon is very nimble and fleet."
163,Hoothoot,Owl,NORMAL,FLYING,"It has a perfect sense of time. Whatever happens, it keeps rhythm by precisely tilting its head in time.","It always stands on one foot. It changes feet so fast, the movement can rarely be seen.","Hoothoot has an internal organ that senses and tracks the earth's rotation. Using this special organ, this Pok̩mon begins hooting at precisely the same time every day.","Hoothoot has an internal organ that senses and tracks the earth's rotation. Using this special organ, this Pok̩mon begins hooting at precisely the same time every day."
164,Noctowl,Owl,NORMAL,FLYING,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.,"When it needs to think, it rotates its head 180 degrees to sharpen its intellectual power.","Noctowl never fails at catching prey in darkness. This Pok̩mon owes its success to its superior vision that allows it to see in minimal light, and to its soft, supple wings that make no sound in flight.","Noctowl never fails at catching prey in darkness. This Pok̩mon owes its success to its superior vision that allows it to see in minimal light, and to its soft, supple wings that make no sound in flight."
165,Ledyba,Five Star,BUG,FLYING,"When the weather turns cold, lots of Ledyba gather from everywhere to cluster and keep each other warm.",It is timid and clusters together with others. The fluid secreted by its feet indicates its location.,Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pok̩mon conveys its feelings to others by altering the fluid's scent.,Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pok̩mon conveys its feelings to others by altering the fluid's scent.
166,Ledian,Five Star,BUG,FLYING,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder.",The spot patterns on its back grow larger or smaller  depending on the number of stars in the night sky. ,"It is said that in lands with clean air, where the stars fill the sky, there live Ledian in countless numbers. There is a good reason for this-the Pok̩mon uses the light of the stars as its energy.","It is said that in lands with clean air, where the stars fill the sky, there live Ledian in countless numbers. There is a good reason for this-the Pok̩mon uses the light of the stars as its energy."
167,Spinarak,String Spit,BUG,POISON,It spins a web using fine--but durable--thread. It then waits patiently for prey to be trapped.,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close.",The web spun by Spinarak can be considered its second nervous system. It is said that this Pok̩mon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web's strands.,The web spun by Spinarak can be considered its second nervous system. It is said that this Pok̩mon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web's strands.
168,Ariados,Long Leg,BUG,POISON,It spins string not only from its rear but also from its mouth. It's hard to tell which end is which.,"It attaches silk to its prey and sets it free. Later, it tracks the silk to the prey and its friends. ",Ariados's feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pok̩mon constricts the foe with thin and strong silk webbing.,Ariados's feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pok̩mon constricts the foe with thin and strong silk webbing.
169,Crobat,Bat,POISON,FLYING,It flies so silently through the dark on its four wings that it may not be noticed even when nearby.,Having four wings allows it to fly more quickly and quietly so it can sneak up on prey without its noticing.,"If this Pok̩mon is flying by fluttering only a pair of wings on either the forelegs or hind legs, it's proof that Crobat has been flying a long distance. It switches the wings it uses if it is tired.",Crobat sneaks up on its intended prey using wings that barely make a sound. This Pok̩mon rests by hanging on a tree branch with its rear legs that serve as wings.
170,Chinchou,Angler,WATER,ELECTRIC,"On the dark ocean floor, its only means of communication is its constantly flashing lights.",It shoots positive and negative electricity between the tips of its two antennae and zaps its enemies.,Chinchou lets loose positive and negative electrical charges from its two antennas to make its prey faint. This Pok̩mon flashes its electric lights to exchange signals with others.,"Chinchou's two antennas are filled with cells that generate strong electricity. This Pok̩mon's cells create so much electrical power, it even makes itself tingle slightly."
171,Lanturn,Light,WATER,ELECTRIC,"Lanturn's light can shine up from great depths. It is nicknamed ""The Deep-Sea Star.""","It blinds prey with an intense burst of light.  With the prey incapacitated, the Pok̩mon  swallows it in a single gulp.","Lanturn is nicknamed ""the deep-sea star"" for its illuminated antenna. This Pok̩mon produces light by causing a chemical reaction between bacteria and its bodily fluids inside the antenna.","Lanturn is known to emit light. If you peer down into the dark sea from a ship at night, you can sometimes see this Pok̩mon's light rising from the depths where it swims. It gives the sea an appearance of a starlit night."
